depth (m),gas age (a B1950),CH4 (ppbv)
618.86,26232.5,355
620.58,26385.1,364
627.17,27090.7,396
629.87,27366.6,387
631.56,27529.9,386
634.23,27616,396
635.95,27767.9,406
638.13,27935.6,426
640.34,28213.5,382
643.04,28447,399
644.74,28518.5,402
646.91,28527.2,414
649.6,28920.3,444
653.5,29162.3,388
656.18,29343.1,368
660.11,29784.1,391
662.79,30209.9,399
664.5,30402.7,392
669.39,30868.6,410
671.08,31012.2,408
673.26,31143.6,392
675.48,31487.6,404
677.66,31663.7,412
681.56,31982.2,427
682.05,31987.1,422
683.1,31989.4,441
684.87,32009.4,457
685.97,32217.7,471
686.88,32342.5,431
688.15,32457.7,452
688.65,32503.4,409
690.37,32736.8,410
690.85,32835.2,405
691.88,33020.3,404
692.53,33121.5,415
693.54,33222.6,432
694.79,33283.6,424
695.24,33295.6,428
696.28,33323.5,440
696.94,33371.6,443
697.41,33406.5,444
699.63,33656.2,461
701.8,33907.1,479
702.41,33990.4,426
703.51,34155.6,415
704,34234.6,419
705.75,34456.8,420
706.22,34507.5,430
707.25,34537.7,430
708.91,34678.1,428
711.08,34708.1,447
711.64,34733.8,457
712.81,34799.6,489
715.43,35073.9,519
715.49,35080.4,520
716.04,35140,513
717.17,35212.4,514
718.87,35393.1,498
719.41,35462.5,492
720.37,35540.2,427
722.17,35676.1,421
723.79,35834.6,444
724.76,35947.8,426
725.49,36039.3,425
725.98,36100.7,441
727.01,36149.4,440
728.18,36252,441
730.31,36456.4,471
730.86,36483.2,469
732.52,36598.9,494
733.6,36713.9,524
736.89,37076.4,534
737.41,37112.1,534
739.03,37180.4,587
739.62,37223.8,536
739.74,37234.3,548
740.88,37333.3,572
741.82,37398.6,563
742.26,37429.2,580
743.48,37548.5,560
743.63,37564.3,557
744.19,37619,544
745.74,37630,547
746.71,37679.5,539
747.87,37773.9,540
748.41,37844.2,481
750.13,38091.5,526
752.34,38299.1,443
754.52,38426,440
758.89,38771.2,455
761.61,38901.8,441
763.28,39061.2,450
765.48,39279.3,444
767.68,39461.8,427
769.52,39620.2,419
769.87,39624.9,419
770.02,39626.8,411
772.18,39712.9,424
