,age,irish_temperature,irish_rainfall,global_ch4,global_temp_x,global_temp_y,global_co2_x,sigma mean_x,global_co2_y,sigma mean_y
119,17.0,10.0,68.425,,,,,,,
120,18.0,9.7,84.50833333333334,,,,,,,
121,19.0,9.5,97.66666666666667,,,,,,,
122,20.0,9.2,103.15833333333335,1011.5595920000001,,,,,,
123,21.0,9.4,94.58333333333333,,,,,,,
124,22.0,9.6,111.425,,,,,,,
125,23.0,9.4,95.38333333333333,,,,,,,
126,24.0,9.8,86.38333333333333,988.96373,,,,,,
127,24.0,9.8,86.38333333333333,991.07192,,,,,,
128,25.0,9.1,85.425,,,,,,,
129,26.0,9.4,107.81666666666666,980.1569744000001,,,,,,
130,27.0,9.2,97.00833333333333,,,,,,,
131,28.0,9.0,80.08333333333333,,,,,,,
132,29.0,10.5,74.75,,,,,,,
133,30.0,9.5,97.89999999999999,960.7720632,,,,,,
134,31.0,8.7,76.45,,,,,,,
135,32.0,9.5,95.14999999999999,,,,,,,
136,33.0,8.8,85.04166666666667,929.884215,,,,,,
137,34.0,9.3,99.45833333333333,,,,,,,
138,35.0,9.0,89.22500000000001,916.689152,,,,,,
139,35.0,9.0,89.22500000000001,925.4842752,,,,,,
140,36.0,9.6,93.60833333333333,921.60204,,,,,,
141,37.0,9.4,93.13333333333333,,,,,,,
142,38.0,9.2,93.65833333333335,,,,,,,
143,39.0,9.6,84.94166666666666,,,,,,,
144,40.0,9.2,94.01666666666667,934.5396336,,,,,,
145,41.0,8.9,79.95833333333333,,,,,,,
146,42.0,9.7,85.94166666666666,,,,,,,
147,43.0,9.0,87.28333333333335,885.26086,,,,,,
148,44.0,9.3,80.68333333333334,,,,,,,
149,45.0,9.3,77.65833333333333,884.5042608,,,,,,
150,46.0,9.1,87.01666666666667,,,,,,,
151,47.0,9.1,111.26666666666667,867.0051512,,,,,,
152,47.0,9.1,111.26666666666667,868.65158,,,,,,
153,48.0,9.2,82.75,,,,,,,
154,49.0,9.1,85.5,,,,,,,
155,50.0,9.3,101.47500000000001,868.9728344,,,,,,
156,50.0,9.3,101.47500000000001,862.3719399999999,,,,,,
157,50.0,9.3,101.47500000000001,868.2206783999999,,,,,,
158,-54.46174863300007,,,1708.84230119,,,,,,
159,-54.05464480799992,,,1707.299995769,,,,,,
160,-53.386301368999966,,,1709.650905226,,,,,,
161,-53.200000000000045,,,1707.224783457,,,,,,
162,-53.16164383499995,,,1706.18224301,,,,,,
163,-53.13150684900006,,,1706.66796256,,,,,,
164,-52.468493150000086,,,1709.131351153,,,,,,
165,-51.547945204999905,,,1710.712973289,,,,,,
166,-51.04109588999995,,,1707.058302618,,,,,,
167,-50.74590163900007,,,1708.686397063,,,,,,
168,-50.20218579199991,,,1706.024823832,,,,,,
169,-49.87671232799994,,,1708.422367823,,,,,,
170,-49.59178082099993,,,1707.648760928,,,,,,
171,-49.13150684900006,,,1703.405527512,,,,,,
172,-48.7890410949999,,,1699.863358753,,,,,,
173,-48.482191779999994,,,1696.753054304,,,,,,
174,-48.28767123200009,,,1691.706857095,,,,,,
175,-47.96438356099998,,,1689.877755596,,,,,,
176,-47.53698630100007,,,1687.821009187,,,,,,
177,-47.410958903999926,,,1684.928039875,,,,,,
178,-47.25753424599998,,,1692.275836279,,,,,,
179,-47.21369862999995,,,1689.650231382,,,,,,
180,-47.208219178000036,,,1689.157295926,,,,,,
181,-47.19726027299998,,,1684.80883878,,,,,,
182,-47.15616438300003,,,1684.011185436,,,,,,
183,-47.0219178079999,,,1683.328699773,,,,,,
184,-47.0219178079999,,,1683.18564491,,,,,,
185,-47.0219178079999,,,1683.03979746,,,,,,
186,-47.01917808200005,,,1683.188154133,,,,,,
187,-47.01917808200005,,,1682.668003979,,,,,,
188,-47.01917808200005,,,1683.780353711,,,,,,
189,-47.01917808200005,,,1683.793727502,,,,,,
190,-46.887978142000065,,,1682.680854898,,,,,,
191,-46.75683060100005,,,1680.546329658,,,,,,
192,-46.639344261999895,,,1683.68076994,,,,,,
193,-46.40710382499992,,,1680.942151233,,,,,,
